  --任务相关文字
 Quest = 
  {
qtMain = "主线",
qtSub = "支线",
qtFuben = "副本",
qtDay = "日常",
qtGuild = "帮派",
qtRoutine = "日常任务",
qtRnd = "奇遇",
qtRecommended = "活动",

n1=	"云虚之厄",	d1=	"    ",	t1=	"    ",
n9387="跑环任务",d9387="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9387="",
n9388="跑环任务",d9388="收集1个初级强化石交给张天师。",t9388="",
n9389="跑环任务",d9389="收集1个初级强化石交给张天师。",t9389="",
n9390="跑环任务",d9390="收集1个初级强化石交给张天师。",t9390="",
n9391="跑环任务",d9391="收集1个初级强化石交给张天师。",t9391="",
n9392="跑环任务",d9392="收集1个天劫石交给张天师。",t9392="",
n9393="跑环任务",d9393="收集1个天劫石交给张天师。",t9393="",
n9394="跑环任务",d9394="收集1个天劫石交给张天师。",t9394="",
n9395="跑环任务",d9395="收集1个天劫石交给张天师。",t9395="",
n9396="跑环任务",d9396="收集1个普通·桔子狸宠物蛋交给张天师。",t9396="",
n9397="跑环任务",d9397="收集1个普通·白猿宠物蛋交给张天师。",t9397="",
n9398="跑环任务",d9398="收集1个普通·哼哼猪宠物蛋交给张天师。",t9398="",
n9399="跑环任务",d9399="收集1个普通·迎风龟宠物蛋交给张天师。",t9399="",
n9400="跑环任务",d9400="收集1个普通·嘟嘟鹅宠物蛋交给张天师。",t9400="",
n9401="跑环任务",d9401="收集1个普通·锦鳞宠物蛋交给张天师。",t9401="",
n9402="跑环任务",d9402="收集1个普通·蹦蹦兔宠物蛋交给张天师。",t9402="",
n9403="跑环任务",d9403="收集1个普通·灵鹿宠物蛋交给张天师。",t9403="",
n9404="跑环任务",d9404="收集1个优秀·桔子狸宠物蛋交给张天师。",t9404="",
n9405="跑环任务",d9405="收集1个优秀·白猿宠物蛋交给张天师。",t9405="",
n9406="跑环任务",d9406="收集1个优秀·哼哼猪宠物蛋交给张天师。",t9406="",
n9407="跑环任务",d9407="收集1个优秀·迎风龟宠物蛋交给张天师。",t9407="",
n9408="跑环任务",d9408="收集1个优秀·嘟嘟鹅宠物蛋交给张天师。",t9408="",
n9409="跑环任务",d9409="收集1个优秀·锦鳞宠物蛋交给张天师。",t9409="",
n9410="跑环任务",d9410="收集1个优秀·蹦蹦兔宠物蛋交给张天师。",t9410="",
n9411="跑环任务",d9411="收集1个优秀·灵鹿宠物蛋交给张天师。",t9411="",
n9412="跑环任务",d9412="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9412="",
n9413="跑环任务",d9413="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9413="",
n9414="跑环任务",d9414="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9414="",
n9415="跑环任务",d9415="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9415="",
n9416="跑环任务",d9416="寻找杂货商人芊芊购买1张回城符交给张天师。",t9416="",
n9417="跑环任务",d9417="寻找杂货商人芊芊购买1张回城符交给张天师。",t9417="",
n9418="跑环任务",d9418="寻找杂货商人芊芊购买1张回城符交给张天师。",t9418="",
n9419="跑环任务",d9419="寻找杂货商人芊芊购买1张回城符交给张天师。",t9419="",
n9420="跑环任务",d9420="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9420="",
n9421="跑环任务",d9421="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9421="",
n9422="跑环任务",d9422="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9422="",
n9423="跑环任务",d9423="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9423="",
n9424="跑环任务",d9424="收集1个初级强化石交给张天师。",t9424="",
n9425="跑环任务",d9425="收集1个初级强化石交给张天师。",t9425="",
n9426="跑环任务",d9426="收集1个初级强化石交给张天师。",t9426="",
n9427="跑环任务",d9427="收集1个初级强化石交给张天师。",t9427="",
n9428="跑环任务",d9428="收集1个天劫石交给张天师。",t9428="",
n9429="跑环任务",d9429="收集1个天劫石交给张天师。",t9429="",
n9430="跑环任务",d9430="收集1个天劫石交给张天师。",t9430="",
n9431="跑环任务",d9431="收集1个天劫石交给张天师。",t9431="",
n9432="跑环任务",d9432="收集1个星幻玉交给张天师。",t9432="",
n9433="跑环任务",d9433="收集1个星幻玉交给张天师。",t9433="",
n9434="跑环任务",d9434="收集1个星幻玉交给张天师。",t9434="",
n9435="跑环任务",d9435="收集1个星幻玉交给张天师。",t9435="",
n9436="跑环任务",d9436="收集1个普通·桔子狸宠物蛋交给张天师。",t9436="",
n9437="跑环任务",d9437="收集1个普通·白猿宠物蛋交给张天师。",t9437="",
n9438="跑环任务",d9438="收集1个普通·哼哼猪宠物蛋交给张天师。",t9438="",
n9439="跑环任务",d9439="收集1个普通·迎风龟宠物蛋交给张天师。",t9439="",
n9440="跑环任务",d9440="收集1个普通·嘟嘟鹅宠物蛋交给张天师。",t9440="",
n9441="跑环任务",d9441="收集1个普通·锦鳞宠物蛋交给张天师。",t9441="",
n9442="跑环任务",d9442="收集1个普通·蹦蹦兔宠物蛋交给张天师。",t9442="",
n9443="跑环任务",d9443="收集1个普通·灵鹿宠物蛋交给张天师。",t9443="",
n9444="跑环任务",d9444="收集1个优秀·桔子狸宠物蛋交给张天师。",t9444="",
n9445="跑环任务",d9445="收集1个优秀·白猿宠物蛋交给张天师。",t9445="",
n9446="跑环任务",d9446="收集1个优秀·哼哼猪宠物蛋交给张天师。",t9446="",
n9447="跑环任务",d9447="收集1个优秀·迎风龟宠物蛋交给张天师。",t9447="",
n9448="跑环任务",d9448="收集1个优秀·嘟嘟鹅宠物蛋交给张天师。",t9448="",
n9449="跑环任务",d9449="收集1个优秀·锦鳞宠物蛋交给张天师。",t9449="",
n9450="跑环任务",d9450="收集1个优秀·蹦蹦兔宠物蛋交给张天师。",t9450="",
n9451="跑环任务",d9451="收集1个优秀·灵鹿宠物蛋交给张天师。",t9451="",
n9452="跑环任务",d9452="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9452="",
n9453="跑环任务",d9453="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9453="",
n9454="跑环任务",d9454="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9454="",
n9455="跑环任务",d9455="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9455="",
n9456="跑环任务",d9456="寻找杂货商人芊芊购买1张回城符交给张天师。",t9456="",
n9457="跑环任务",d9457="寻找杂货商人芊芊购买1张回城符交给张天师。",t9457="",
n9458="跑环任务",d9458="寻找杂货商人芊芊购买1张回城符交给张天师。",t9458="",
n9459="跑环任务",d9459="寻找杂货商人芊芊购买1张回城符交给张天师。",t9459="",
n9460="跑环任务",d9460="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9460="",
n9461="跑环任务",d9461="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9461="",
n9462="跑环任务",d9462="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9462="",
n9463="跑环任务",d9463="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9463="",
n9464="跑环任务",d9464="收集1个初级强化石交给张天师。",t9464="",
n9465="跑环任务",d9465="收集1个初级强化石交给张天师。",t9465="",
n9466="跑环任务",d9466="收集1个初级强化石交给张天师。",t9466="",
n9467="跑环任务",d9467="收集1个初级强化石交给张天师。",t9467="",
n9468="跑环任务",d9468="收集1个天劫石交给张天师。",t9468="",
n9469="跑环任务",d9469="收集1个天劫石交给张天师。",t9469="",
n9470="跑环任务",d9470="收集1个天劫石交给张天师。",t9470="",
n9471="跑环任务",d9471="收集1个天劫石交给张天师。",t9471="",
n9472="跑环任务",d9472="收集1个星幻玉交给张天师。",t9472="",
n9473="跑环任务",d9473="收集1个星幻玉交给张天师。",t9473="",
n9474="跑环任务",d9474="收集1个星幻玉交给张天师。",t9474="",
n9475="跑环任务",d9475="收集1个星幻玉交给张天师。",t9475="",
n9476="跑环任务",d9476="收集1个初级法宝晶石交给张天师。",t9476="",
n9477="跑环任务",d9477="收集1个初级法宝晶石交给张天师。",t9477="",
n9478="跑环任务",d9478="收集1个初级法宝晶石交给张天师。",t9478="",
n9479="跑环任务",d9479="收集1个初级法宝晶石交给张天师。",t9479="",
n9480="跑环任务",d9480="收集1个普通·桔子狸宠物蛋交给张天师。",t9480="",
n9481="跑环任务",d9481="收集1个普通·白猿宠物蛋交给张天师。",t9481="",
n9482="跑环任务",d9482="收集1个普通·哼哼猪宠物蛋交给张天师。",t9482="",
n9483="跑环任务",d9483="收集1个普通·迎风龟宠物蛋交给张天师。",t9483="",
n9484="跑环任务",d9484="收集1个普通·嘟嘟鹅宠物蛋交给张天师。",t9484="",
n9485="跑环任务",d9485="收集1个普通·锦鳞宠物蛋交给张天师。",t9485="",
n9486="跑环任务",d9486="收集1个普通·蹦蹦兔宠物蛋交给张天师。",t9486="",
n9487="跑环任务",d9487="收集1个普通·灵鹿宠物蛋交给张天师。",t9487="",
n9488="跑环任务",d9488="收集1个优秀·桔子狸宠物蛋交给张天师。",t9488="",
n9489="跑环任务",d9489="收集1个优秀·白猿宠物蛋交给张天师。",t9489="",
n9490="跑环任务",d9490="收集1个优秀·哼哼猪宠物蛋交给张天师。",t9490="",
n9491="跑环任务",d9491="收集1个优秀·迎风龟宠物蛋交给张天师。",t9491="",
n9492="跑环任务",d9492="收集1个优秀·嘟嘟鹅宠物蛋交给张天师。",t9492="",
n9493="跑环任务",d9493="收集1个优秀·锦鳞宠物蛋交给张天师。",t9493="",
n9494="跑环任务",d9494="收集1个优秀·蹦蹦兔宠物蛋交给张天师。",t9494="",
n9495="跑环任务",d9495="收集1个优秀·灵鹿宠物蛋交给张天师。",t9495="",
n9496="跑环任务",d9496="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9496="",
n9497="跑环任务",d9497="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9497="",
n9498="跑环任务",d9498="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9498="",
n9499="跑环任务",d9499="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9499="",
n9500="跑环任务",d9500="寻找杂货商人芊芊购买1张回城符交给张天师。",t9500="",
n9501="跑环任务",d9501="寻找杂货商人芊芊购买1张回城符交给张天师。",t9501="",
n9502="跑环任务",d9502="寻找杂货商人芊芊购买1张回城符交给张天师。",t9502="",
n9503="跑环任务",d9503="寻找杂货商人芊芊购买1张回城符交给张天师。",t9503="",
n9504="跑环任务",d9504="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9504="",
n9505="跑环任务",d9505="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9505="",
n9506="跑环任务",d9506="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9506="",
n9507="跑环任务",d9507="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9507="",
n9508="跑环任务",d9508="收集1个初级强化石交给张天师。",t9508="",
n9509="跑环任务",d9509="收集1个初级强化石交给张天师。",t9509="",
n9510="跑环任务",d9510="收集1个初级强化石交给张天师。",t9510="",
n9511="跑环任务",d9511="收集1个初级强化石交给张天师。",t9511="",
n9512="跑环任务",d9512="收集1个天劫石交给张天师。",t9512="",
n9513="跑环任务",d9513="收集1个天劫石交给张天师。",t9513="",
n9514="跑环任务",d9514="收集1个天劫石交给张天师。",t9514="",
n9515="跑环任务",d9515="收集1个天劫石交给张天师。",t9515="",
n9516="跑环任务",d9516="收集1个星幻玉交给张天师。",t9516="",
n9517="跑环任务",d9517="收集1个星幻玉交给张天师。",t9517="",
n9518="跑环任务",d9518="收集1个星幻玉交给张天师。",t9518="",
n9519="跑环任务",d9519="收集1个星幻玉交给张天师。",t9519="",
n9520="跑环任务",d9520="收集1个初级法宝晶石交给张天师。",t9520="",
n9521="跑环任务",d9521="收集1个初级法宝晶石交给张天师。",t9521="",
n9522="跑环任务",d9522="收集1个初级法宝晶石交给张天师。",t9522="",
n9523="跑环任务",d9523="收集1个初级法宝晶石交给张天师。",t9523="",
n9524="跑环任务",d9524="收集1个普通·桔子狸宠物蛋交给张天师。",t9524="",
n9525="跑环任务",d9525="收集1个普通·白猿宠物蛋交给张天师。",t9525="",
n9526="跑环任务",d9526="收集1个普通·哼哼猪宠物蛋交给张天师。",t9526="",
n9527="跑环任务",d9527="收集1个普通·迎风龟宠物蛋交给张天师。",t9527="",
n9528="跑环任务",d9528="收集1个普通·嘟嘟鹅宠物蛋交给张天师。",t9528="",
n9529="跑环任务",d9529="收集1个普通·锦鳞宠物蛋交给张天师。",t9529="",
n9530="跑环任务",d9530="收集1个普通·蹦蹦兔宠物蛋交给张天师。",t9530="",
n9531="跑环任务",d9531="收集1个普通·灵鹿宠物蛋交给张天师。",t9531="",
n9532="跑环任务",d9532="收集1个优秀·桔子狸宠物蛋交给张天师。",t9532="",
n9533="跑环任务",d9533="收集1个优秀·白猿宠物蛋交给张天师。",t9533="",
n9534="跑环任务",d9534="收集1个优秀·哼哼猪宠物蛋交给张天师。",t9534="",
n9535="跑环任务",d9535="收集1个优秀·迎风龟宠物蛋交给张天师。",t9535="",
n9536="跑环任务",d9536="收集1个优秀·嘟嘟鹅宠物蛋交给张天师。",t9536="",
n9537="跑环任务",d9537="收集1个优秀·锦鳞宠物蛋交给张天师。",t9537="",
n9538="跑环任务",d9538="收集1个优秀·蹦蹦兔宠物蛋交给张天师。",t9538="",
n9539="跑环任务",d9539="收集1个优秀·灵鹿宠物蛋交给张天师。",t9539="",
n9540="跑环任务",d9540="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9540="",
n9541="跑环任务",d9541="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9541="",
n9542="跑环任务",d9542="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9542="",
n9543="跑环任务",d9543="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9543="",
n9544="跑环任务",d9544="寻找杂货商人芊芊购买1张回城符交给张天师。",t9544="",
n9545="跑环任务",d9545="寻找杂货商人芊芊购买1张回城符交给张天师。",t9545="",
n9546="跑环任务",d9546="寻找杂货商人芊芊购买1张回城符交给张天师。",t9546="",
n9547="跑环任务",d9547="寻找杂货商人芊芊购买1张回城符交给张天师。",t9547="",
n9548="跑环任务",d9548="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9548="",
n9549="跑环任务",d9549="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9549="",
n9550="跑环任务",d9550="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9550="",
n9551="跑环任务",d9551="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9551="",
n9552="跑环任务",d9552="收集1个初级强化石交给张天师。",t9552="",
n9553="跑环任务",d9553="收集1个初级强化石交给张天师。",t9553="",
n9554="跑环任务",d9554="收集1个初级强化石交给张天师。",t9554="",
n9555="跑环任务",d9555="收集1个初级强化石交给张天师。",t9555="",
n9556="跑环任务",d9556="收集1个天劫石交给张天师。",t9556="",
n9557="跑环任务",d9557="收集1个天劫石交给张天师。",t9557="",
n9558="跑环任务",d9558="收集1个天劫石交给张天师。",t9558="",
n9559="跑环任务",d9559="收集1个天劫石交给张天师。",t9559="",
n9560="跑环任务",d9560="收集1个星幻玉交给张天师。",t9560="",
n9561="跑环任务",d9561="收集1个星幻玉交给张天师。",t9561="",
n9562="跑环任务",d9562="收集1个星幻玉交给张天师。",t9562="",
n9563="跑环任务",d9563="收集1个星幻玉交给张天师。",t9563="",
n9564="跑环任务",d9564="收集1个初级法宝晶石交给张天师。",t9564="",
n9565="跑环任务",d9565="收集1个初级法宝晶石交给张天师。",t9565="",
n9566="跑环任务",d9566="收集1个初级法宝晶石交给张天师。",t9566="",
n9567="跑环任务",d9567="收集1个初级法宝晶石交给张天师。",t9567="",
n9568="跑环任务",d9568="收集1个普通·桔子狸宠物蛋交给张天师。",t9568="",
n9569="跑环任务",d9569="收集1个普通·白猿宠物蛋交给张天师。",t9569="",
n9570="跑环任务",d9570="收集1个普通·哼哼猪宠物蛋交给张天师。",t9570="",
n9571="跑环任务",d9571="收集1个普通·迎风龟宠物蛋交给张天师。",t9571="",
n9572="跑环任务",d9572="收集1个普通·嘟嘟鹅宠物蛋交给张天师。",t9572="",
n9573="跑环任务",d9573="收集1个普通·锦鳞宠物蛋交给张天师。",t9573="",
n9574="跑环任务",d9574="收集1个普通·蹦蹦兔宠物蛋交给张天师。",t9574="",
n9575="跑环任务",d9575="收集1个普通·灵鹿宠物蛋交给张天师。",t9575="",
n9576="跑环任务",d9576="收集1个优秀·桔子狸宠物蛋交给张天师。",t9576="",
n9577="跑环任务",d9577="收集1个优秀·白猿宠物蛋交给张天师。",t9577="",
n9578="跑环任务",d9578="收集1个优秀·哼哼猪宠物蛋交给张天师。",t9578="",
n9579="跑环任务",d9579="收集1个优秀·迎风龟宠物蛋交给张天师。",t9579="",
n9580="跑环任务",d9580="收集1个优秀·嘟嘟鹅宠物蛋交给张天师。",t9580="",
n9581="跑环任务",d9581="收集1个优秀·锦鳞宠物蛋交给张天师。",t9581="",
n9582="跑环任务",d9582="收集1个优秀·蹦蹦兔宠物蛋交给张天师。",t9582="",
n9583="跑环任务",d9583="收集1个优秀·灵鹿宠物蛋交给张天师。",t9583="",
n9584="跑环任务",d9584="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9584="",
n9585="跑环任务",d9585="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9585="",
n9586="跑环任务",d9586="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9586="",
n9587="跑环任务",d9587="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9587="",
n9588="跑环任务",d9588="寻找杂货商人芊芊购买1张回城符交给张天师。",t9588="",
n9589="跑环任务",d9589="寻找杂货商人芊芊购买1张回城符交给张天师。",t9589="",
n9590="跑环任务",d9590="寻找杂货商人芊芊购买1张回城符交给张天师。",t9590="",
n9591="跑环任务",d9591="寻找杂货商人芊芊购买1张回城符交给张天师。",t9591="",
n9592="跑环任务",d9592="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9592="",
n9593="跑环任务",d9593="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9593="",
n9594="跑环任务",d9594="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9594="",
n9595="跑环任务",d9595="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9595="",
n9596="跑环任务",d9596="收集1个初级强化石交给张天师。",t9596="",
n9597="跑环任务",d9597="收集1个初级强化石交给张天师。",t9597="",
n9598="跑环任务",d9598="收集1个初级强化石交给张天师。",t9598="",
n9599="跑环任务",d9599="收集1个初级强化石交给张天师。",t9599="",
n9600="跑环任务",d9600="收集1个天劫石交给张天师。",t9600="",
n9601="跑环任务",d9601="收集1个天劫石交给张天师。",t9601="",
n9602="跑环任务",d9602="收集1个天劫石交给张天师。",t9602="",
n9603="跑环任务",d9603="收集1个天劫石交给张天师。",t9603="",
n9604="跑环任务",d9604="收集1个星幻玉交给张天师。",t9604="",
n9605="跑环任务",d9605="收集1个星幻玉交给张天师。",t9605="",
n9606="跑环任务",d9606="收集1个星幻玉交给张天师。",t9606="",
n9607="跑环任务",d9607="收集1个星幻玉交给张天师。",t9607="",
n9608="跑环任务",d9608="收集1个初级法宝晶石交给张天师。",t9608="",
n9609="跑环任务",d9609="收集1个初级法宝晶石交给张天师。",t9609="",
n9610="跑环任务",d9610="收集1个初级法宝晶石交给张天师。",t9610="",
n9611="跑环任务",d9611="收集1个初级法宝晶石交给张天师。",t9611="",
n9612="跑环任务",d9612="收集1个普通·桔子狸宠物蛋交给张天师。",t9612="",
n9613="跑环任务",d9613="收集1个普通·白猿宠物蛋交给张天师。",t9613="",
n9614="跑环任务",d9614="收集1个普通·哼哼猪宠物蛋交给张天师。",t9614="",
n9615="跑环任务",d9615="收集1个普通·迎风龟宠物蛋交给张天师。",t9615="",
n9616="跑环任务",d9616="收集1个普通·嘟嘟鹅宠物蛋交给张天师。",t9616="",
n9617="跑环任务",d9617="收集1个普通·锦鳞宠物蛋交给张天师。",t9617="",
n9618="跑环任务",d9618="收集1个普通·蹦蹦兔宠物蛋交给张天师。",t9618="",
n9619="跑环任务",d9619="收集1个普通·灵鹿宠物蛋交给张天师。",t9619="",
n9620="跑环任务",d9620="收集1个优秀·桔子狸宠物蛋交给张天师。",t9620="",
n9621="跑环任务",d9621="收集1个优秀·白猿宠物蛋交给张天师。",t9621="",
n9622="跑环任务",d9622="收集1个优秀·哼哼猪宠物蛋交给张天师。",t9622="",
n9623="跑环任务",d9623="收集1个优秀·迎风龟宠物蛋交给张天师。",t9623="",
n9624="跑环任务",d9624="收集1个优秀·嘟嘟鹅宠物蛋交给张天师。",t9624="",
n9625="跑环任务",d9625="收集1个优秀·锦鳞宠物蛋交给张天师。",t9625="",
n9626="跑环任务",d9626="收集1个优秀·蹦蹦兔宠物蛋交给张天师。",t9626="",
n9627="跑环任务",d9627="收集1个优秀·灵鹿宠物蛋交给张天师。",t9627="",
n9628="跑环任务",d9628="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9628="",
n9629="跑环任务",d9629="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9629="",
n9630="跑环任务",d9630="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9630="",
n9631="跑环任务",d9631="寻找装备商人铁千炼购买天雷40级蓝色武器炼魄枪交给张天师。",t9631="",
n9632="跑环任务",d9632="寻找杂货商人芊芊购买1张回城符交给张天师。",t9632="",
n9633="跑环任务",d9633="寻找杂货商人芊芊购买1张回城符交给张天师。",t9633="",
n9634="跑环任务",d9634="寻找杂货商人芊芊购买1张回城符交给张天师。",t9634="",
n9635="跑环任务",d9635="寻找杂货商人芊芊购买1张回城符交给张天师。",t9635="",
n9636="跑环任务",d9636="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9636="",
n9637="跑环任务",d9637="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9637="",
n9638="跑环任务",d9638="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9638="",
n9639="跑环任务",d9639="寻找杂货商人芊芊购买1个拨浪鼓交给张天师。",t9639="",
n9640="跑环任务",d9640="收集1个初级强化石交给张天师。",t9640="",
n9641="跑环任务",d9641="收集1个初级强化石交给张天师。",t9641="",
n9642="跑环任务",d9642="收集1个初级强化石交给张天师。",t9642="",
n9643="跑环任务",d9643="收集1个初级强化石交给张天师。",t9643="",
n9644="跑环任务",d9644="收集1个天劫石交给张天师。",t9644="",
n9645="跑环任务",d9645="收集1个天劫石交给张天师。",t9645="",
n9646="跑环任务",d9646="收集1个天劫石交给张天师。",t9646="",
n9647="跑环任务",d9647="收集1个天劫石交给张天师。",t9647="",
n9648="跑环任务",d9648="收集1个星幻玉交给张天师。",t9648="",
n9649="跑环任务",d9649="收集1个星幻玉交给张天师。",t9649="",
n9650="跑环任务",d9650="收集1个星幻玉交给张天师。",t9650="",
n9651="跑环任务",d9651="收集1个星幻玉交给张天师。",t9651="",
n9652="跑环任务",d9652="收集1个初级法宝晶石交给张天师。",t9652="",
n9653="跑环任务",d9653="收集1个初级法宝晶石交给张天师。",t9653="",
n9654="跑环任务",d9654="收集1个初级法宝晶石交给张天师。",t9654="",
n9655="跑环任务",d9655="收集1个初级法宝晶石交给张天师。",t9655="",
n9656="跑环任务",d9656="收集1个普通·桔子狸宠物蛋交给张天师。",t9656="",
n9657="跑环任务",d9657="收集1个普通·白猿宠物蛋交给张天师。",t9657="",
n9658="跑环任务",d9658="收集1个普通·哼哼猪宠物蛋交给张天师。",t9658="",
n9659="跑环任务",d9659="收集1个普通·迎风龟宠物蛋交给张天师。",t9659="",
n9660="跑环任务",d9660="收集1个普通·嘟嘟鹅宠物蛋交给张天师。",t9660="",
n9661="跑环任务",d9661="收集1个普通·锦鳞宠物蛋交给张天师。",t9661="",
n9662="跑环任务",d9662="收集1个普通·蹦蹦兔宠物蛋交给张天师。",t9662="",
n9663="跑环任务",d9663="收集1个普通·灵鹿宠物蛋交给张天师。",t9663="",
n9664="跑环任务",d9664="收集1个优秀·桔子狸宠物蛋交给张天师。",t9664="",
n9665="跑环任务",d9665="收集1个优秀·白猿宠物蛋交给张天师。",t9665="",
n9666="跑环任务",d9666="收集1个优秀·哼哼猪宠物蛋交给张天师。",t9666="",
n9667="跑环任务",d9667="收集1个优秀·迎风龟宠物蛋交给张天师。",t9667="",
n9668="跑环任务",d9668="收集1个优秀·嘟嘟鹅宠物蛋交给张天师。",t9668="",
n9669="跑环任务",d9669="收集1个优秀·锦鳞宠物蛋交给张天师。",t9669="",
n9670="跑环任务",d9670="收集1个优秀·蹦蹦兔宠物蛋交给张天师。",t9670="",
n9671="跑环任务",d9671="收集1个优秀·灵鹿宠物蛋交给张天师。",t9671="",
n9672="简单福地",d9672="完成福地守护任务，可获得不错的奖励。",t9672="退出副本后寻找帮派管理员领取奖励",
n9673="普通福地",d9673="完成福地守护任务，可获得不错的奖励。",t9673="退出副本后寻找帮派管理员领取奖励",
n9674="困难福地",d9674="完成福地守护任务，可获得不错的奖励。",t9674="退出副本后寻找帮派管理员领取奖励",
n9675="噩梦福地",d9675="完成福地守护任务，可获得不错的奖励。",t9675="退出副本后寻找帮派管理员领取奖励",
n9676="清明祈福",d9676="收集星幻玉1个。",t9676="",
n9677="清明祈福",d9677="收集星幻玉1个。",t9677="",
n9678="清明祈福",d9678="收集星幻玉1个。",t9678="",
n9679="清明祈福",d9679="收集星幻玉1个。",t9679="",
n9680="清明祈福",d9680="收集星幻玉1个。",t9680="",
n9681="清明祈福",d9681="收集星幻玉1个。",t9681="",
n9682="清明祈福",d9682="收集星幻玉1个。",t9682="",
n9683="清明祈福",d9683="收集轮回玉1个。",t9683="",
n9684="清明祈福",d9684="收集轮回玉1个。",t9684="",
n9685="清明祈福",d9685="收集轮回玉1个。",t9685="",
n9686="清明祈福",d9686="收集轮回玉1个。",t9686="",
n9687="清明祈福",d9687="收集轮回玉1个。",t9687="",
n9688="清明祈福",d9688="收集轮回玉1个。",t9688="",
n9689="清明祈福",d9689="收集轮回玉1个。",t9689="",
n9690="清明祈福",d9690="收集普通·桔子狸宠物蛋1个。",t9690="",
n9691="清明祈福",d9691="收集优秀·桔子狸宠物蛋1个。",t9691="",
n9692="清明祈福",d9692="收集普通·白猿宠物蛋1个。",t9692="",
n9693="清明祈福",d9693="收集优秀·白猿宠物蛋1个。",t9693="",
n9694="清明祈福",d9694="收集普通·哼哼猪宠物蛋1个。",t9694="",
n9695="清明祈福",d9695="收集优秀·哼哼猪宠物蛋1个。",t9695="",
n9696="清明祈福",d9696="收集普通·迎风龟宠物蛋1个。",t9696="",
n9697="清明祈福",d9697="收集优秀·迎风龟宠物蛋1个。",t9697="",
n9698="清明祈福",d9698="收集普通·嘟嘟鹅宠物蛋1个。",t9698="",
n9699="清明祈福",d9699="收集优秀·嘟嘟鹅宠物蛋1个。",t9699="",
n9700="清明祈福",d9700="收集普通·锦鳞宠物蛋1个。",t9700="",
n9701="清明祈福",d9701="收集优秀·锦鳞宠物蛋1个。",t9701="",
n9702="清明祈福",d9702="收集普通·蹦蹦兔宠物蛋1个。",t9702="",
n9703="清明祈福",d9703="收集优秀·蹦蹦兔宠物蛋1个。",t9703="",
n9704="清明祈福",d9704="收集普通·灵鹿宠物蛋1个。",t9704="",
